x_m,y_m,s_m,v_mps,v_kph,gear,rpm
79.00281061,116.220512,1111.229043,57.70361969,207.7330309,4,15631.22025
84.0098055,115.0509506,1116.37082,56.71815329,204.1853518,4,15364.26919
89.0169559,113.8820553,1121.512597,55.64896701,200.3362812,4,15074.63942
94.02426173,112.7138259,1126.654374,54.54979024,196.3792449,4,14776.88558
99.03172289,111.5462625,1131.796151,53.42794506,192.3406022,4,14472.99114
104.0393393,110.3793652,1136.937929,52.28196451,188.2150722,4,14162.55872
109.0471109,109.2131339,1142.079706,51.1102162,183.9967783,3,15983.28157
114.0550375,108.0475687,1147.221483,49.91087597,179.6791535,3,15608.22167
119.0631191,106.8826695,1152.36326,48.67896825,175.2442857,3,15222.97721
124.0713556,105.7184365,1157.505037,47.39734183,170.6304306,3,14822.18462
129.0797469,104.5548696,1162.646814,46.0357879,165.7288364,3,14396.39695
134.7663142,103.1634461,1168.501138,44.57342874,160.4643435,3,13939.08528
140.4518861,101.7679607,1174.355461,43.01885887,154.8678919,3,13452.93731
146.1364596,100.3684142,1180.209785,41.40100006,149.0436002,2,15533.29034
151.8200319,98.96480723,1186.064109,39.74720688,143.0899448,2,14912.80172
157.0567684,97.65980363,1191.461001,38.05921853,137.0131867,2,14279.48336
162.2919444,96.34855382,1196.857893,36.29016159,130.6445817,2,13615.74879
167.5255524,95.03105966,1202.254785,34.37987381,123.7675457,2,12899.02565
173.7992415,92.90663705,1208.878405,32.37783699,116.5602131,1,15688.98583
179.9660299,90.48939339,1215.502026,30.5048413,109.8174287,1,14781.40813
186.0122589,87.78468256,1222.125646,28.99721349,104.3899686,1,14050.87288
190.5713238,84.92737885,1227.506097,27.88791082,100.396479,1,13513.34982
194.8899769,81.71825232,1232.886549,26.97780985,97.12011544,1,13072.35183
198.9411304,78.17743142,1238.267,25.96435699,93.47168518,1,12581.2737
202.6993745,74.32712509,1243.647452,24.5892514,88.52130503,1,11914.95334
206.7416336,69.24196156,1250.143508,22.77138335,81.97698008,1,11034.08826
210.2439352,63.77088938,1256.639564,20.65766052,74.36757786,1,10009.86395
213.1697215,57.97101679,1263.135621,18.5713764,66.85695505,1,8998.935334
214.0640757,51.36380244,1269.80309,16.97508942,61.1103219,1,8225.439441
213.4969198,44.72049866,1276.47056,16.35815783,58.8893682,1,7926.499432
206.6257546,39.13043633,1285.328421,16.88956927,60.80244937,1,8183.999848
201.2447977,38.34555112,1290.76632,18.16773968,65.40386285,1,8803.349359
