s_m,v_const_mps,v_trac_mps,R_m
2301.2996255377857,14.398088847784184,14.027243878803993,999999999.9999999
2302.4050067213675,15.060670084972203,14.706542482008933,999999999.9999999
2303.5103879049493,15.695305169000886,15.355820157673856,999999999.9999999
2304.615769088531,16.154742316810736,15.978736923002142,999999999.9999999
2305.721150272113,15.328098536227612,15.328098536227612,999999999.9999999
2306.8265314556947,14.454255779875027,14.454255779875027,999999999.9999999
2307.9319126392766,13.524068010912925,13.524068010912925,999999999.9999999
2309.0372938228584,12.524987863369219,12.524987863369219,999999999.9999999
2310.14267500644,11.43897838057639,11.43897838057639,999999999.9999999
2311.248056190022,10.238414516175911,10.238414516175911,999999999.9999999
2312.353437373604,8.876938504844402,8.876938504844402,13.319306956642713
2313.415799133527,7.334016085553824,7.334016085553824,4.85612653300749
2314.3623115397095,8.39650570246564,7.787541377173229,999999999.9999999
2315.24331993223,9.276753430304595,8.729412746360156,999999999.9999999
2316.1243283247504,10.080426598204964,9.579117552856589,999999999.9999999
2317.005336717271,10.82459452344189,10.35935998440904,999999999.9999999
2317.8863451097914,11.520793930630738,11.08481779199393,999999999.9999999
2318.767353502312,12.177254985717761,11.765629251206041,999999999.9999999
2319.6483618948323,12.800093170845207,12.409144929122444,999999999.9999999
2320.529370287353,12.818815446949753,12.818815446949753,999999999.9999999
2321.4103786798732,11.982469189171773,11.982469189171773,999999999.9999999
2322.2913870723937,11.083190257139147,11.083190257139147,999999999.9999999
2323.172395464914,10.104189461923088,10.104189461923088,999999999.9999999
2324.0534038574347,9.019544505623932,9.019544505623932,7.34472415662086
2324.900739731127,9.813992049445888,9.353694602397889,207.91910564978735
2325.716301892548,10.52214980852103,10.094196320723086,999999999.9999999
2326.530944858383,11.184838044588343,10.783216813734718,999999999.9999999
2327.345587824218,11.81040082191889,11.43077995338563,999999999.9999999
2328.160230790053,11.902512782491046,11.902512782491046,999999999.9999999
2328.974873755888,11.067513566729756,11.067513566729756,999999999.9999999
2329.789516721723,10.164147901429402,10.164147901429402,999999999.9999999
2330.604159687558,9.172237926183348,9.172237926183348,999999999.9999999
2331.418802653393,8.059155947548147,8.059155947548147,5.863884361816362
2332.3789751444037,9.050122675034265,8.479798243835734,40.782782392956086
2333.529616679762,10.110526626468355,9.60338515771995,999999999.9999999
